Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
310,Alberto Herrera,mx MEX,"MF,FW",Puebla,23,2001,22,12,957,10.6,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,3,33,29,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches,12,3,25.0,1.13,0.28,0.00,0.00,27.7,0,0.03,-0.4,-0.4,268,367,73.0,4364,1299,140,161,87.0,98,127,77.2,23,53,43.4,1.0,-0.4,11,35,8,2,339,27,0,8,24,10,9,3,6,0,1,14,23,2.17,14,6,0,1,0,2,0.19,1,1,0,0,0,19,8,4,9,6,8,44.4,10,9,13,32,11,0,473,8,6,7,53.8,5,38.5,225,1,10,11,281,44,31.3,60,0,10,23,7,0.95,12,17,-5,-0.47,+0.47,10.1,12.4,-2.3,-0.21,+0.29,0,16,0,0,0,40,5,22.7
471,Aldahir Perez,mx MEX,MF,Querétaro,19,2004,14,9,720,8.0,2,0,2,2,0,0,1,0,0.9,0.9,0.2,1.1,12,35,16,0.25,0.00,0.25,0.25,0.25,0.11,0.03,0.14,0.11,0.14,Matches,12,6,50.0,1.50,0.75,0.17,0.33,22.2,1,0.07,+1.1,+1.1,195,248,78.6,3574,1061,82,95,86.3,85,99,85.9,23,34,67.6,0.3,-0.2,7,28,1,0,231,16,0,4,7,3,8,1,5,0,1,8,26,3.25,16,3,2,2,1,1,0.12,1,0,0,0,0,19,12,6,11,2,10,45.5,12,7,7,26,2,0,322,3,10,6,35.3,11,64.7,207,2,9,15,222,51,23.5,67,0,5,23,6,1.00,6,16,-10,-1.25,-0.67,6.5,10.7,-4.2,-0.53,+0.32,0,9,0,0,0,36,4,33.3
604,Aldieri Valenzuela,mx MEX,"FW,MF",Tijuana,21,2003,1,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,8,13,61.5,121,38,5,5,100.0,3,6,50.0,0,0,,0.0,0.0,0,0,0,0,9,4,0,0,1,4,0,0,0,0,0,0,1,2.73,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,14,1,0,0,,0,,8,0,0,1,8,33,1.1,,0,1,33,0,0.00,0,4,-4,-10.91,-10.82,0.2,1.6,-1.4,-3.87,-3.52,0,0,0,0,0,0,0,
154,Aldo Cruz,mx MEX,DF,Atlético,26,1997,30,27,2402,26.7,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,39,129,33,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02,Matches,5,1,20.0,0.19,0.04,0.00,0.00,24.6,0,0.04,-0.2,-0.2,1308,1603,81.6,24324,9499,497,553,89.9,633,697,90.8,146,274,53.3,0.7,-0.4,12,132,20,12,1467,133,0,21,38,100,0,0,0,0,3,39,35,1.31,33,1,0,1,0,2,0.07,2,0,0,0,0,48,34,32,15,1,29,72.5,11,15,19,67,83,2,1836,115,7,3,25.0,9,75.0,1022,1,21,10,1236,80,78.5,87,23,3,16,4,1.44,39,45,-6,-0.22,-0.36,28.2,37.6,-9.3,-0.35,-0.19,0,6,0,0,0,110,33,55.0
357,Aldo López,mx MEX,"MF,DF",Santos,24,2000,27,23,2004,22.3,3,1,4,3,0,0,1,0,2.8,2.8,1.6,4.4,17,63,28,0.13,0.04,0.18,0.13,0.18,0.13,0.07,0.20,0.13,0.20,Matches,21,10,47.6,0.94,0.45,0.14,0.30,16.4,0,0.14,+0.2,+0.2,758,864,87.7,12899,4234,365,396,92.2,323,359,90.0,60,75,80.0,1.1,-0.6,14,61,8,2,761,101,2,6,14,67,2,0,2,0,2,17,37,1.66,29,0,2,2,1,7,0.31,4,0,2,0,0,35,20,12,21,2,17,47.2,19,17,37,72,28,2,1066,45,21,17,56.7,13,43.3,550,2,18,4,630,74,65.5,83,15,4,21,5,0.59,19,40,-21,-0.94,+0.59,23.2,37.3,-14.1,-0.63,+0.48,0,14,0,0,0,99,5,23.8
524,Aldo Rocha,mx MEX,MF,Atlas,31,1992,31,31,2573,28.6,1,0,1,1,0,1,6,0,3.9,3.1,1.2,4.3,19,165,32,0.03,0.00,0.03,0.03,0.03,0.14,0.04,0.18,0.11,0.15,Matches,40,7,17.5,1.40,0.24,0.03,0.14,26.3,8,0.08,-2.9,-2.1,1374,1596,86.1,25363,8303,576,623,92.5,606,684,88.6,163,227,71.8,1.4,-1.2,25,163,13,1,1489,102,0,22,24,4,8,3,2,0,5,15,76,2.66,62,7,0,4,1,8,0.28,8,0,0,0,0,48,30,21,22,5,26,44.8,32,17,27,75,30,2,1824,46,31,10,50.0,10,50.0,984,1,21,12,1236,83,84.1,83,17,0,,0,1.30,38,43,-5,-0.17,+1.30,31.9,30.2,+1.7,+0.06,+0.62,0,35,0,2,0,153,21,47.7
42,Alejandro Andrade,mx MEX,"MF,DF",Necaxa,22,2001,14,6,515,5.7,0,0,0,0,0,0,1,1,0.1,0.1,0.1,0.2,3,16,6,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,2,1,50.0,0.35,0.17,0.00,0.00,22.6,0,0.03,-0.1,-0.1,156,193,80.8,2856,1004,59,66,89.4,79,92,85.9,15,22,68.2,0.1,-0.1,3,7,2,1,165,28,0,0,4,22,0,0,0,0,0,6,10,1.75,5,2,1,0,1,0,0.00,0,0,0,0,0,13,6,9,3,1,6,75.0,2,5,4,17,21,0,252,22,2,5,62.5,3,37.5,114,0,2,2,117,37,16.8,70,2,8,12,5,1.60,15,15,0,0.00,-0.04,9.4,8.5,+0.9,+0.16,+0.31,0,9,0,0,0,23,10,71.4
258,Alejandro Gómez,mx MEX,"DF,MF",Tijuana,22,2002,27,25,2053,22.8,0,3,3,0,0,0,4,0,1.2,1.2,1.2,2.4,21,100,52,0.00,0.13,0.13,0.00,0.13,0.05,0.05,0.11,0.05,0.11,Matches,18,2,11.1,0.79,0.09,0.00,0.00,18.8,0,0.07,-1.2,-1.2,964,1228,78.5,17536,7709,382,430,88.8,471,560,84.1,94,180,52.2,1.4,+1.8,15,87,14,4,1078,148,3,14,20,81,0,0,0,0,2,28,29,1.27,26,0,0,1,0,4,0.18,4,0,0,0,0,47,22,30,16,1,17,51.5,16,18,37,84,73,0,1489,107,26,2,18.2,8,72.7,731,0,25,4,874,76,67.1,80,13,2,31,7,1.48,38,44,-6,-0.26,-0.17,30.8,39.6,-8.9,-0.39,-0.03,0,29,0,1,1,86,32,57.1
393,Alejandro Mayorga,mx MEX,DF,Necaxa,27,1997,29,22,1875,20.8,0,3,3,0,0,0,2,0,0.5,0.5,0.7,1.3,34,56,64,0.00,0.14,0.14,0.00,0.14,0.02,0.04,0.06,0.02,0.06,Matches,8,3,37.5,0.38,0.14,0.00,0.00,15.2,0,0.06,-0.5,-0.5,543,727,74.7,9004,3616,261,300,87.0,214,283,75.6,48,90,53.3,1.0,+2.3,15,37,17,7,582,143,1,4,32,130,0,0,0,0,2,25,33,1.58,27,4,1,0,1,3,0.14,3,0,0,0,0,42,25,26,14,2,30,66.7,15,29,27,69,57,1,977,65,21,18,39.1,27,58.7,448,4,37,10,453,65,61.3,77,7,7,25,3,1.35,31,26,+5,+0.24,+0.54,25.6,28.5,-3.0,-0.14,-0.13,0,21,0,1,0,114,15,50.0
633,Alejandro Zendejas,us USA,"FW,MF",América,26,1998,27,24,1961,21.8,7,9,16,7,0,0,4,0,4.7,4.7,6.1,10.8,76,117,163,0.32,0.41,0.73,0.32,0.73,0.22,0.28,0.49,0.22,0.49,Matches,50,18,36.0,2.29,0.83,0.14,0.39,16.6,1,0.10,+2.3,+2.3,936,1128,83.0,14278,3999,500,558,89.6,336,385,87.3,57,97,58.8,6.6,+2.9,32,90,37,11,1061,59,2,2,59,12,28,7,0,0,8,28,81,3.72,63,4,3,4,0,18,0.83,14,0,0,1,0,36,25,10,19,7,12,38.7,19,25,9,45,7,0,1374,9,81,27,51.9,25,48.1,918,15,52,31,1073,73,64.1,78,9,3,26,0,1.85,46,20,+26,+1.19,+0.87,37.9,17.3,+20.5,+0.94,+0.22,0,25,1,0,0,82,10,41.7
,Alek Álvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,
