Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
588,Alan Ruschel,br BRA,DF,Juventude,36-031,1989,14,11,920,10.2,0,0,0,0,0,0,2,0,0.0,0.0,0.6,0.6,11,27,26,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,344,452,76.1,5576,2529,174,189,92.1,140,183,76.5,23,47,48.9,0.6,-0.6,9,18,5,3,319,130,0,4,31,103,9,4,5,0,3,15,16,1.57,7,4,1,2,2,0,0.00,0,0,0,0,0,18,7,9,9,0,7,46.7,8,4,11,29,19,0,529,18,5,4,30.8,7,53.8,238,1,11,6,289,66,44.4,83,7,3,3,9,0.93,7,19,-12,-1.17,-0.08,5.5,16.2,-10.7,-1.04,-0.23,0,11,0,0,0,31,10,52.6
401,Alejandro Martínez,ar ARG,FW,Ceará,28-160,1997,2,0,49,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,3,0.00,1.84,1.84,0.00,1.84,0.03,0.09,0.12,0.03,0.12,Matches,1,1,100.0,1.84,1.84,0.00,0.00,34.6,0,0.01,0.0,0.0,10,18,55.6,144,88,7,10,70.0,2,4,50.0,1,3,33.3,0.0,+0.9,1,0,1,0,17,1,0,0,2,0,0,0,0,0,0,3,1,1.84,1,0,0,0,0,1,1.84,1,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,1,1,0,21,2,0,0,,0,,11,0,0,0,7,25,2.4,,0,2,25,4,1.50,1,0,+1,+1.84,+1.93,0.3,0.6,-0.3,-0.48,-0.49,0,2,0,0,0,10,0,
9,Alesson,br BRA,FW,Mirassol,26-219,1999,11,5,493,5.5,3,3,6,3,0,0,0,0,2.9,2.9,1.3,4.2,16,10,44,0.55,0.55,1.10,0.55,1.10,0.54,0.24,0.78,0.54,0.78,Matches,9,4,44.4,1.64,0.73,0.33,0.75,11.1,0,0.33,+0.1,+0.1,84,116,72.4,1274,325,52,63,82.5,23,31,74.2,7,11,63.6,1.0,+1.7,8,5,7,5,116,0,0,0,18,0,0,0,0,0,0,9,15,2.74,13,0,1,0,0,4,0.73,3,0,1,0,0,10,5,2,6,2,4,20.0,16,10,3,13,3,0,199,4,20,13,44.8,16,55.2,119,4,18,15,139,45,23.8,62,0,6,31,0,2.00,17,5,+12,+2.19,+1.85,10.5,5.3,+5.3,+0.97,+0.84,0,11,0,0,0,23,8,61.5
441,Alex Muralha,br BRA,GK,Mirassol,35-317,1989,6,6,540,6.0,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,112,157,71.3,2654,1784,31,32,96.9,50,52,96.2,29,71,40.8,0.0,-0.2,1,2,0,0,116,41,0,0,0,0,0,0,0,0,0,0,1,0.17,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,9,1,176,144,0,0,,0,,93,0,0,0,72,90,26.1,90,6,0,,15,1.17,11,9,+2,+0.33,-0.61,9.8,7.6,+2.2,+0.36,+0.05,0,0,0,0,0,10,1,50.0
593,Alex Sandro,br BRA,DF,Flamengo,34-240,1991,13,13,959,10.7,0,0,0,0,0,0,1,0,0.2,0.2,0.9,1.1,24,89,29,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.10,0.02,0.10,Matches,5,1,20.0,0.47,0.09,0.00,0.00,11.5,0,0.03,-0.2,-0.2,688,776,88.7,11197,3742,351,366,95.9,281,303,92.7,48,79,60.8,0.9,-0.9,9,83,9,3,686,88,2,4,17,76,0,0,0,0,2,10,24,2.25,22,1,0,0,0,2,0.19,2,0,0,0,0,10,5,3,4,3,2,33.3,4,7,14,24,30,1,871,37,10,8,66.7,4,33.3,535,2,11,7,622,74,46.3,74,9,0,,2,2.31,22,6,+16,+1.50,-0.20,15.7,8.3,+7.4,+0.69,-0.30,0,27,0,0,0,46,12,63.2
595,Alex Santana,br BRA,MF,Corinthians,30-133,1995,3,1,106,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,7,1,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches,1,0,0.0,0.85,0.00,0.00,,12.4,0,0.11,-0.1,-0.1,61,69,88.4,1046,329,27,29,93.1,27,30,90.0,5,6,83.3,0.2,0.0,0,11,0,0,68,1,1,1,0,0,0,0,0,0,0,0,2,1.70,2,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,1,0,74,2,1,0,,0,,47,0,0,1,60,35,4.9,59,0,2,24,7,1.33,0,2,-2,-1.70,-1.57,0.3,2.4,-2.0,-1.72,-1.68,0,2,0,0,0,6,3,100.0
596,Alex Santana,br BRA,MF,Grêmio,30-133,1995,5,4,296,3.3,0,0,0,0,0,0,3,0,0.5,0.5,0.0,0.5,6,11,5,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,Matches,1,0,0.0,0.85,0.00,0.00,,12.4,0,0.11,-0.1,-0.1,61,69,88.4,1046,329,27,29,93.1,27,30,90.0,5,6,83.3,0.2,0.0,0,11,0,0,68,1,1,1,0,0,0,0,0,0,0,0,2,1.70,2,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,1,0,74,2,1,0,,0,,47,0,0,1,60,35,4.9,59,0,2,24,7,1.33,0,2,-2,-1.70,-1.57,0.3,2.4,-2.0,-1.72,-1.68,0,2,0,0,0,6,3,100.0
643,Alex Teixeira,br BRA,"MF,FW",Vasco da Gama,35-260,1990,9,0,118,1.3,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,2,0,6,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26,Matches,4,2,50.0,3.05,1.53,0.00,0.00,12.0,0,0.08,-0.3,-0.3,48,54,88.9,626,68,33,34,97.1,11,12,91.7,3,4,75.0,0.0,0.0,0,2,0,0,52,1,0,0,0,0,0,0,0,0,1,1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,3,1,1,2,0,0,0.0,1,1,0,3,4,1,73,4,7,1,100.0,0,0.0,45,1,2,1,57,13,5.7,,0,9,13,11,0.78,2,4,-2,-1.53,-1.57,1.8,3.7,-1.9,-1.44,-1.25,0,2,0,0,0,3,1,14.3
644,Alex Telles,br BRA,DF,Botafogo (RJ),32-282,1992,19,15,1219,13.5,3,3,6,1,2,2,1,0,2.2,0.6,2.2,2.8,24,61,51,0.22,0.22,0.44,0.07,0.30,0.16,0.16,0.32,0.04,0.21,Matches,17,3,17.6,1.26,0.22,0.06,0.33,27.1,5,0.03,+0.8,+0.4,606,731,82.9,9909,3518,337,356,94.7,208,238,87.4,50,117,42.7,2.1,+0.8,24,66,16,10,564,164,0,9,82,98,38,18,15,0,3,3,41,3.02,25,10,0,2,0,3,0.22,1,1,0,0,0,12,10,6,6,0,6,50.0,6,4,13,25,29,0,832,32,9,3,60.0,2,40.0,433,2,15,8,506,64,58.9,75,4,4,25,3,1.68,20,9,+11,+0.81,+0.18,18.9,14.5,+4.4,+0.32,-0.02,0,17,0,0,0,46,10,66.7
35,Alexander Aravena,cl CHI,"FW,MF",Grêmio,23-017,2002,14,1,364,4.0,2,0,2,2,0,0,1,0,1.8,1.8,0.7,2.5,14,5,21,0.49,0.00,0.49,0.49,0.49,0.46,0.17,0.63,0.46,0.63,Matches,8,3,37.5,1.98,0.74,0.25,0.67,13.5,1,0.23,+0.2,+0.2,100,122,82.0,1492,285,51,57,89.5,39,45,86.7,4,5,80.0,0.6,-0.7,5,2,5,3,120,2,0,0,8,1,0,0,0,0,0,6,8,1.98,7,0,0,0,0,1,0.25,1,0,0,0,0,6,4,3,2,1,1,50.0,1,5,0,6,5,0,168,4,15,3,25.0,8,66.7,101,1,12,2,125,26,17.6,72,0,13,22,5,0.93,4,4,0,0.00,+0.32,6.2,6.1,0.0,+0.01,+0.62,0,4,0,0,0,17,3,21.4
