Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
170.0,John Iredale,au AUS,FW,Aalborg,24.0,1999.0,14.0,10.0,723.0,8.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.37,0.0,0.37,0.37,0.37,Matches,21.0,8.0,38.1,2.61,1.0,0.14,0.38,,52.0,25.1,64.0,1,4,21.0,2,0.79,12.0,16.0,-4.0,-0.5,0.71,0.0,5.0,2.0,7.0,1.0,1.0,2.0,,,0.0
1.0,Jonas Abbew,dk DEN,DF,AGF,22.0,2002.0,17.0,10.0,865.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,1.0,0.0,0.0,0.1,0.0,0.0,,,51.0,30.0,73.0,1,7,19.0,11,1.41,12.0,17.0,-5.0,-0.52,-1.06,0.0,8.0,1.0,1.0,2.0,9.0,5.0,,,0.0
207.0,Jonas Krumrey,de GER,GK,Lyngby,20.0,2003.0,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,,0.0,0.0,,,,90.0,9.4,90.0,3,0,,2,1.0,2.0,3.0,-1.0,-0.33,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
229.0,Jonas Lössl,dk DEN,GK,Midtjylland,35.0,1989.0,10.0,10.0,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,,0.0,0.0,,,,90.0,31.3,90.0,10,0,,22,2.0,24.0,12.0,12.0,1.2,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0
12.0,Jonathan Amon,us USA,"FW,MF",Lyngby,25.0,1999.0,23.0,16.0,1426.0,15.8,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches,20.0,7.0,35.0,1.26,0.44,0.15,0.43,,62.0,49.5,76.0,4,7,31.0,4,0.65,8.0,21.0,-13.0,-0.82,-0.57,0.0,16.0,23.0,4.0,36.0,5.0,7.0,,,0.0
370.0,Jonathan Ægidius,dk DEN,GK,Lyngby,22.0,2002.0,6.0,6.0,535.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,,0.0,0.0,,,,89.0,18.6,89.0,5,0,,9,1.33,7.0,9.0,-2.0,-0.34,0.24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0
217.0,Jordan Larsson,se SWE,"MF,FW",FC Copenhagen,27.0,1997.0,19.0,18.0,1290.0,14.3,8.0,2.0,10.0,8.0,0.0,0.0,4.0,0.0,0.56,0.14,0.7,0.56,0.7,Matches,31.0,14.0,45.2,2.16,0.98,0.26,0.57,,68.0,44.8,71.0,1,1,6.0,5,2.21,25.0,14.0,11.0,0.77,-0.14,0.0,12.0,16.0,1.0,20.0,9.0,8.0,,,0.0
348.0,Jordi Vanlerberghe,be BEL,DF,Brøndby,28.0,1996.0,22.0,16.0,1430.0,15.9,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches,16.0,3.0,18.8,1.01,0.19,0.13,0.67,,65.0,49.7,83.0,12,6,18.0,3,1.73,28.0,17.0,11.0,0.69,0.63,0.0,10.0,14.0,2.0,23.0,25.0,34.0,,,0.0
126.0,Jose Gallegos,us USA,"MF,FW",SønderjyskE,22.0,2001.0,15.0,4.0,452.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,5.0,1.0,20.0,1.0,0.2,0.2,1.0,,30.0,15.7,60.0,0,11,19.0,13,0.8,6.0,13.0,-7.0,-1.39,-1.02,0.0,4.0,6.0,0.0,8.0,3.0,10.0,,,0.0
294.0,Josip Radošević,hr CRO,MF,Brøndby,30.0,1994.0,15.0,11.0,862.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,3.0,0.0,0.0,0.31,0.0,0.0,,,57.0,29.9,74.0,4,4,13.0,2,1.73,18.0,12.0,6.0,0.63,0.36,0.0,10.0,5.0,0.0,9.0,8.0,13.0,,,0.0
6.0,Jubril Adedeji,ng NGA,"FW,MF",Aalborg,24.0,2000.0,8.0,3.0,295.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,9.0,0.0,0.0,2.75,0.0,0.0,,,37.0,10.2,60.0,0,5,23.0,4,0.75,5.0,5.0,0.0,0.0,1.15,0.0,6.0,12.0,1.0,2.0,2.0,1.0,,,0.0
213.0,Juho Lähteenmäki,fi FIN,DF,Nordsjælland,18.0,2006.0,15.0,13.0,1068.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,3.0,0.0,0.0,0.25,0.0,0.0,,,71.0,37.1,79.0,5,2,20.0,0,1.33,19.0,19.0,0.0,0.0,0.15,0.0,7.0,10.0,0.0,12.0,7.0,18.0,,,0.0
261.0,Julius Nielsen,dk DEN,"DF,MF",Silkeborg,18.0,2006.0,20.0,5.0,639.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,4.0,2.0,50.0,0.56,0.28,0.0,0.0,,32.0,22.2,69.0,2,15,19.0,12,1.6,9.0,10.0,-1.0,-0.14,-0.78,0.0,10.0,0.0,3.0,15.0,5.0,14.0,,,0.0
187.0,Juninho,br BRA,DF,Midtjylland,28.0,1995.0,9.0,4.0,419.0,4.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.21,0.0,0.21,0.21,0.21,Matches,9.0,3.0,33.3,1.93,0.64,0.11,0.33,,47.0,14.5,78.0,2,5,22.0,4,1.78,8.0,7.0,1.0,0.21,-0.55,0.0,5.0,1.0,0.0,2.0,5.0,3.0,,,0.0
