Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
356,Alberto Vogtmann,dk DEN,DF,SønderjyskE,18,2006,2,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,8,0.6,,0,2,8,0,3.00,1,1,0,0.00,+0.53,0,0,0,0,0,0,0,,,0
70,Alexander Busch,dk DEN,DF,Silkeborg,21,2003,8,7,632,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,79,21.9,90,7,1,2,0,1.56,12,10,+2,+0.28,-0.24,0,5,8,0,0,13,7,,,0
223,Alexander Lind,dk DEN,FW,Silkeborg,22,2002,3,2,202,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6,2,33.3,2.67,0.89,0.00,0.00,,67,7.0,87,1,1,28,0,2.00,1,2,-1,-0.45,-0.98,0,4,4,2,0,0,0,,,0
232,Alexander Lyng,dk DEN,"FW,MF",SønderjyskE,19,2004,23,11,1021,11.3,3,0,3,3,0,0,2,0,0.26,0.00,0.26,0.26,0.26,Matches,23,7,30.4,2.03,0.62,0.13,0.43,,44,35.5,66,1,12,24,9,1.22,18,18,0,0.00,+0.82,0,12,14,4,10,3,17,,,0
,Alexander Priesborg Madsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,5,,,,,,,,,,,,,,,,
319,Alexander Simmelhack,dk DEN,FW,Silkeborg,18,2005,23,2,413,4.6,5,1,6,5,0,0,0,0,1.09,0.22,1.31,1.09,1.31,Matches,12,9,75.0,2.62,1.96,0.42,0.56,,18,14.3,79,0,21,12,4,1.42,8,5,+3,+0.65,+0.22,0,10,4,1,1,1,3,,,0
195,Alhaji Kamara,sl SLE,FW,Midtjylland,30,1994,2,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,5,0.3,,0,2,5,2,3.00,1,0,+1,+9.00,+8.34,0,0,0,0,0,0,1,,,0
98,Amar Diagne,dk DEN,FW,Aalborg,18,2006,3,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1,0,0.0,3.60,0.00,0.00,,,8,0.9,,0,3,8,7,0.00,0,2,-2,-7.20,-6.22,0,1,0,0,0,0,1,,,0
81,Amin Chiakha,dz ALG,FW,FC Copenhagen,18,2006,17,4,460,5.1,2,0,2,2,0,0,2,0,0.39,0.00,0.39,0.39,0.39,Matches,11,4,36.4,2.15,0.78,0.18,0.50,,27,16.0,64,0,13,16,10,2.12,7,4,+3,+0.59,-0.31,0,12,4,2,1,2,2,,,0
192,Anders K. Jacobsen,dk DEN,"FW,MF",Vejle BK,34,1989,25,10,895,9.9,2,3,5,2,0,1,0,0,0.20,0.30,0.50,0.20,0.50,Matches,13,8,61.5,1.31,0.80,0.15,0.25,,36,31.1,66,2,15,16,7,1.00,14,16,-2,-0.20,+0.93,0,9,4,1,1,4,2,,,0
200,Anders Klynge,dk DEN,"MF,FW",Silkeborg,23,2000,18,14,1213,13.5,1,7,8,1,0,0,1,0,0.07,0.52,0.59,0.07,0.59,Matches,18,4,22.2,1.34,0.30,0.06,0.25,,67,42.1,80,8,4,24,0,1.68,25,17,+8,+0.59,+0.22,0,14,9,0,27,19,20,,,0
281,Anders Pedersen,,MF,SønderjyskE,,,6,1,113,1.3,0,1,1,0,0,0,0,0,0.00,0.80,0.80,0.00,0.80,Matches,0,0,,0.00,0.00,,,,19,3.9,63,0,5,10,4,1.33,1,3,-2,-1.59,-1.11,0,0,1,0,4,1,3,,,0
333,Anders Sønderskov,dk DEN,DF,Vejle BK,18,2006,1,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1,0,0.0,2.37,0.00,0.00,,,38,1.3,,0,1,38,6,0.00,2,3,-1,-2.37,-1.55,0,0,1,0,0,1,0,,,0
50,Andreas Bjelland,dk DEN,DF,Lyngby,36,1988,3,3,171,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,57,5.9,57,0,0,,7,0.33,1,5,-4,-2.11,-1.67,0,2,0,0,0,2,3,,,0
