Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls.1;Ast.1;G+A.1;G-PK.1;G+A-PK;Matches;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Min%;PPM;+/-90;On-Off;MP_per90;Starts_per90;Min_per90;Gls_per90;Ast_per90;G+A_per90;G-PK_per90;PK_per90;PKatt_per90;CrdY_per90;CrdR_per90;Sh_per90;SoT_per90;Dist_per90;Mn/MP_per90;Mn/Start_per90;Compl_per90;Subs_per90;Mn/Sub_per90;unSub_per90;onG_per90;onGA_per90;+/-_per90;2CrdY_per90;Fls_per90;Fld_per90;Off_per90;Crs_per90;Int_per90;TklW_per90;PKwon_per90;PKcon_per90;OG_per90
69,0;Nicolas Bürgy;ch SUI;DF;Viborg;28,0;1995,0;11,5;0,09;0,0;0,09;0,09;0,09;Matches;36,4;0,96;0,35;0,09;0,25;36,0;1,46;0,61;0,61;1,13;0,96;90,09;0,09;0,0;0,09;0,09;0,0;0,0;0,26;0,0;0,96;0,35;;6,96;7,83;0,96;0,17;2,0;0,35;2,0;1,39;0,61;0,0;0,43;0,17;0,0;0,26;1,83;0,43;;;0,0
109,0;Nikolas Dyhr;dk DEN;DF;Randers;23,0;2001,0;22,6;0,04;0,13;0,18;0,04;0,18;Matches;40,0;0,22;0,09;0,2;0,5;70,5;1,37;0,31;0,31;1,15;1,02;89,87;0,04;0,13;0,18;0,04;0,0;0,0;0,09;0,0;0,22;0,09;;3,45;3,67;0,35;0,13;1,68;0,0;1,77;1,46;0,31;0,0;0,31;0,4;0,13;2,08;0,75;0,88;;;0,0
238,0;Noah Markmann;dk DEN;DF;Nordsjælland;17,0;2007,0;3,8;0,0;0,0;0,0;0,0;0,0;Matches;0,0;0,53;0,0;0,0;;11,8;1,3;-0,8;-0,8;2,63;0,79;89,21;0,0;0,0;0,0;0,0;0,0;0,0;0,26;0,0;0,53;0,0;;8,95;19,47;0,0;1,84;4,47;3,68;1,05;1,84;-0,79;0,0;1,84;1,05;0,0;0,0;1,58;1,32;;;0,0
257,0;Noah Nartey;dk DEN;MF;Brøndby;18,0;2005,0;19,5;0,15;0,26;0,41;0,15;0,41;Matches;24,1;1,49;0,36;0,1;0,43;60,8;1,71;0,51;0,35;1,44;0,97;89,85;0,15;0,26;0,41;0,15;0,0;0,0;0,36;0,05;1,49;0,36;;3,23;4,15;0,41;0,46;1,23;0,15;1,85;1,33;0,51;0,05;1,28;1,13;0,0;0,26;0,67;1,95;;;0,0
75,0;Norman Campbell;jm JAM;MF,FW;Randers;24,0;1999,0;16,4;0,43;0,06;0,49;0,43;0,49;Matches;40,0;2,14;0,85;0,2;0,5;51,2;1,44;0,06;-0,32;1,59;1,04;89,94;0,43;0,06;0,49;0,43;0,0;0,0;0,37;0,06;2,13;0,85;;3,48;4,39;0,06;0,55;1,71;0,18;1,83;1,77;0,06;0,06;2,07;1,04;0,49;2,87;0,67;0,79;;;0,0
28,0;Nóel Arnórsson;is ISL;DF;Aalborg;17,0;2006,0;9,7;0,0;0,21;0,21;0,0;0,21;Matches;0,0;0,41;0,0;0,0;;30,3;0,44;-1,65;-0,89;1,65;1,13;89,9;0,0;0,21;0,21;0,0;0,0;0,0;0,1;0,0;0,41;0,0;;5,67;6,49;0,21;0,52;3,71;0,31;0,82;2,47;-1,65;0,0;1,55;1,13;0,0;0,72;1,13;1,44;;;0,0
64,0;Ola Brynhildsen;no NOR;MF;Midtjylland;25,0;1999,0;3,1;0,65;0,0;0,65;0,65;0,65;Matches;45,5;3,55;1,61;0,18;0,4;9,7;2,33;0,65;-0,05;1,94;0,97;90,0;0,65;0,0;0,65;0,65;0,0;0,0;0,0;0,0;3,55;1,61;;15,16;23,23;0,0;0,97;6,77;0,0;1,29;0,65;0,65;0,0;1,29;0,65;0,0;0,97;0,32;0,32;;;0,0
67,0;Oliver Bundgaard;dk DEN;DF;Viborg;23,0;2001,0;4,5;0,22;0,0;0,22;0,22;0,22;Matches;50,0;0,89;0,44;0,25;0,5;14,1;1,11;0,0;-0,25;2,0;1,33;90,22;0,22;0,0;0,22;0,22;0,0;0,0;0,0;0,0;0,89;0,44;;10,0;13,78;0,89;0,67;2,67;0,67;1,11;1,11;0,0;0,0;1,78;1,11;0,0;2,22;1,11;1,78;;;0,22
179,0;Oliver Jensen;dk DEN;MF;Midtjylland;22,0;2002,0;26,5;0,34;0,11;0,45;0,26;0,38;Matches;31,9;1,77;0,57;0,15;0,47;82,8;1,96;0,83;0,83;1,06;0,98;90,04;0,34;0,11;0,45;0,26;0,08;0,08;0,04;0,0;1,77;0,57;;3,21;3,36;0,94;0,08;1,43;0,0;2,19;1,36;0,83;0,0;0,57;0,72;0,19;1,25;0,57;0,68;;;0,0
263,0;Oliver Nielsen;dk DEN;DF;Vejle BK;21,0;2003,0;16,0;0,0;0,0;0,0;0,0;0,0;Matches;18,2;0,69;0,12;0,0;0,0;50,0;0,38;-1,44;-1,19;1,0;1,0;90,0;0,0;0,0;0,0;0,0;0,0;0,0;0,12;0,0;0,69;0,12;;5,62;5,62;1,0;0,0;;0,0;1,0;2,44;-1,44;0,0;0,88;0,69;0,0;0,19;0,81;0,75;;;0,0
271,0;Oliver Olsen;dk DEN;DF;Randers;23,0;2000,0;31,0;0,03;0,0;0,03;0,03;0,03;Matches;25,0;0,9;0,23;0,04;0,14;96,9;1,47;0,23;0,23;1,0;1,0;90,0;0,03;0,0;0,03;0,03;0,0;0,0;0,13;0,0;0,9;0,23;;2,9;2,9;1,0;0,0;;0,0;1,84;1,61;0,23;0,0;1,45;0,77;0,06;1,52;1,29;1,58;;;0,0
