Rk;Player;Nation;Pos;Squad;Age;Born;90s;Matches;Touches_per90;Def Pen_per90;Def 3rd_per90;Mid 3rd_per90;Att 3rd_per90;Att Pen_per90;Live_per90;Att_per90;Succ_per90;Succ%_per90;Tkld_per90;Tkld%_per90;Carries_per90;TotDist_per90;PrgDist_per90;PrgC_per90;1/3_per90;CPA_per90;Mis_per90;Dis_per90;Rec_per90;PrgR_per90;SCA_per90;SCA90_per90;PassLive_per90;PassDead_per90;TO_per90;Sh_per90;Fld_per90;Def_per90;GCA_per90;GCA90_per90;PassLive.1_per90;PassDead.1_per90;TO.1_per90;Sh.1_per90;Fld.1_per90;Def.1_per90
162;Andreas Hanche-Olsen;no NOR;DF;Mainz 05;28-127;1997,0;14,3;Matches;56,78;7,97;31,68;22,73;2,66;1,47;56,78;0,07;0,07;6,99;0,0;0,0;27,55;104,41;40,63;0,14;0,28;0,0;0,56;0,21;32,8;0,35;0,35;0,02;0,21;0,0;0,0;0,14;0,0;0,0;0,07;0,0;0,07;0,0;0,0;0,0;0,0;0,0
407;Andreas Skov Olsen;dk DEN;FW,MF;Wolfsburg;25-146;1999,0;5,9;Matches;55,76;1,53;10,85;18,98;26,1;4,58;55,76;2,37;0,68;4,85;1,53;10,9;31,86;186,78;96,61;3,73;1,86;1,19;1,19;0,85;38,31;8,14;5,42;0,91;4,07;0,68;0,17;0,34;0,17;0,0;0,17;0,03;0,0;0,17;0,0;0,0;0,0;0,0
185;Andrej Ilic;rs SRB;FW;Union Berlin;25-051;2000,0;10,4;Matches;29,04;0,96;3,08;13,37;12,98;4,33;28,94;0,67;0,1;1,38;0,58;8,24;14,52;53,85;16,06;0,48;0,58;0,38;3,08;0,87;20,1;5,67;1,44;0,14;0,87;0,0;0,1;0,29;0,19;0,0;0,19;0,02;0,1;0,0;0,0;0,1;0,0;0,0
231;Andrej Kramarić;hr CRO;MF,FW;Hoffenheim;33-339;1991,0;30,7;Matches;50,62;0,36;5,73;23,29;22,02;4,27;50,52;1,53;0,65;1,39;0,72;1,52;30,55;164,4;82,54;2,44;1,79;0,72;1,5;1,24;37,56;6,58;3,32;0,11;2,54;0,42;0,07;0,23;0,07;0,0;0,46;0,01;0,36;0,03;0,0;0,03;0,03;0,0
381;András Schäfer;hu HUN;MF;Union Berlin;26-041;1999,0;17,0;Matches;47,0;2,29;10,88;24,12;12,41;1,18;47,0;1,71;0,76;2,64;0,76;2,64;21,29;99,82;41,06;1,35;0,94;0,24;1,59;0,53;23,53;2,47;1,71;0,1;1,24;0,0;0,06;0,06;0,29;0,06;0,18;0,01;0,12;0,0;0,06;0,0;0,0;0,0
397;André Silva;pt POR;FW;Werder Bremen;29-199;1995,0;4,2;Matches;41,9;0,95;2,62;18,57;21,19;6,19;41,43;3,81;0,24;1,5;2,86;17,86;24,52;125,95;47,38;1,43;1,43;0,95;3,1;2,14;29,52;6,67;3,57;0,86;2,62;0,0;0,24;0,48;0,24;0,0;0,24;0,06;0,24;0,0;0,0;0,0;0,0;0,0
418;Angelo Stiller;de GER;MF;Stuttgart;24-050;2001,0;30,5;Matches;91,18;2,46;15,93;57,44;18,23;1,15;91,18;0,98;0,66;2,19;0,33;1,09;52,07;236,52;122,07;1,28;1,28;0,1;0,69;0,82;69,25;2,26;3,64;0,12;2,89;0,56;0,07;0,0;0,1;0,03;0,33;0,01;0,26;0,07;0,0;0,0;0,0;0,0
78;Anrie Chase;jp JPN;DF;Stuttgart;21-061;2004,0;8,2;Matches;75,85;7,93;30,85;40,73;4,88;0,49;75,85;0,61;0,24;4,88;0,37;7,32;40,73;147,44;66,59;0,73;0,85;0,0;0,49;0,12;55,24;0,24;0,98;0,12;0,85;0,0;0,0;0,12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
219;Ansgar Knauff;de GER;MF,DF;Eint Frankfurt;23-134;2002,0;17,7;Matches;43,79;1,13;7,97;17,51;18,98;4,24;43,79;3,16;1,47;2,62;1,41;2,52;24,58;145,42;86,21;2,99;1,98;1,07;2,66;0,96;26,95;8,25;3,5;0,2;2,15;0,0;0,68;0,23;0,34;0,11;0,56;0,03;0,28;0,0;0,17;0,06;0,0;0,06
69;Anthony Caci;fr FRA;DF;Mainz 05;27-327;1997,0;29,8;Matches;66,21;2,35;13,36;29,66;23,79;2,08;66,21;2,15;0,97;1,52;1,04;1,62;32,21;123,49;55,37;1,51;0,84;0,44;1,48;0,81;38,96;5,1;3,19;0,11;2,45;0,57;0,07;0,07;0,0;0,03;0,37;0,01;0,37;0,0;0,0;0,0;0,0;0,0
