Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
277,Kim Min-jae,kr KOR,DF,Bayern Munich,28-190,1996.0,25.4,2764,161,911,1762,101,14,2764,5,3,60.0,2,40.0,1644,6867,3311,16,23,1,14,5,2098,5,Matches,26,1.03,24,0,0,0,1,1,2,0.08,2,0,0,0,0,0
84,Kingsley Coman,fr FRA,FW,Bayern Munich,28-345,1996.0,14.2,934,13,84,323,537,85,934,74,39,52.7,31,41.9,606,3834,1867,66,33,28,28,18,733,215,Matches,81,5.68,60,0,14,5,2,0,11,0.77,6,0,3,1,1,0
468,Kjell-Arik Wätjen,de GER,MF,Dortmund,19-097,2006.0,0.2,12,2,5,4,3,0,12,0,0,,0,,4,14,4,0,0,0,2,0,5,0,Matches,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
187,Ko Itakura,jp JPN,DF,Gladbach,28-117,1997.0,31.0,2170,326,1187,916,80,32,2170,23,12,52.2,10,43.5,1326,6644,3528,23,17,0,9,8,1513,5,Matches,25,0.81,17,0,1,5,1,1,1,0.03,0,0,0,1,0,0
279,Koji Miyoshi,jp JPN,"FW,MF",Bochum,28-059,1997.0,5.2,201,3,31,90,85,21,201,14,5,35.7,9,64.3,120,684,303,11,6,3,14,5,124,23,Matches,9,1.75,7,0,1,1,0,0,0,0.0,0,0,0,0,0,0
240,Konrad Laimer,at AUT,DF,Bayern Munich,27-362,1997.0,18.9,1421,39,232,685,508,66,1421,30,17,56.7,12,40.0,816,4335,2759,87,60,18,35,23,1014,113,Matches,62,3.28,56,2,1,1,1,1,8,0.42,8,0,0,0,0,0
229,Konstantinos Koulierakis,gr GRE,DF,Wolfsburg,21-177,2003.0,27.4,1886,283,957,839,97,30,1886,12,7,58.3,5,41.7,1049,5137,2681,20,17,0,18,2,1205,8,Matches,31,1.13,24,2,0,4,0,1,4,0.15,3,0,0,1,0,0
296,Kosta Nedeljković,rs SRB,DF,RB Leipzig,19-159,2005.0,5.3,283,16,66,116,102,5,283,4,1,25.0,2,50.0,120,670,346,10,7,1,4,1,170,27,Matches,6,1.13,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
191,Kristijan Jakić,hr CRO,MF,Augsburg,28-010,1997.0,25.6,1361,74,322,790,263,34,1361,29,14,48.3,13,44.8,703,2978,1324,24,13,3,39,21,828,49,Matches,42,1.64,35,1,3,2,1,0,7,0.27,6,0,0,0,1,0
359,Lars Ritzka,de GER,"DF,MF",St. Pauli,27-017,1998.0,10.2,567,40,215,244,109,6,567,1,0,0.0,1,100.0,161,640,387,8,6,0,6,4,263,34,Matches,12,1.17,11,0,0,0,1,0,0,0.0,0,0,0,0,0,0
358,Lasse Rieß,de GER,GK,Mainz 05,23-301,2001.0,2.0,90,66,89,1,0,0,90,0,0,,0,,61,287,138,0,0,0,0,0,47,0,Matches,3,1.5,3,0,0,0,0,0,1,0.5,1,0,0,0,0,0
362,Lasse Rosenboom,de GER,DF,Holstein Kiel,23-125,2002.0,19.3,780,77,324,292,170,36,780,19,7,36.8,11,57.9,284,1432,565,19,13,3,36,13,335,50,Matches,25,1.3,22,0,0,2,1,0,3,0.16,3,0,0,0,0,0
190,Lee Jae-sung,kr KOR,MF,Mainz 05,32-287,1992.0,29.4,1385,43,220,644,535,124,1385,30,11,36.7,16,53.3,699,2368,928,28,23,10,73,27,938,165,Matches,73,2.48,64,0,2,2,5,0,14,0.48,11,0,0,1,2,0
260,Lennard Maloney,us USA,MF,Heidenheim,25-228,1999.0,8.4,378,38,183,174,23,5,378,4,1,25.0,3,75.0,147,492,206,1,1,0,11,1,161,0,Matches,7,0.83,6,0,0,1,0,0,0,0.0,0,0,0,0,0,0
261,Lennard Maloney,us USA,MF,Mainz 05,25-228,1999.0,0.3,28,3,9,17,2,0,28,0,0,,0,,5,25,14,1,0,0,1,1,6,0,Matches,7,0.83,6,0,0,1,0,0,0,0.0,0,0,0,0,0,0
406,Leo Skiri Østigård,no NOR,DF,Hoffenheim,25-177,1999.0,10.3,747,117,355,374,20,12,747,3,2,66.7,1,33.3,344,1579,630,0,1,0,1,1,379,1,Matches,9,0.87,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0
142,Leon Goretzka,de GER,"MF,DF",Bayern Munich,30-107,1995.0,14.7,1373,47,224,868,289,27,1373,8,7,87.5,1,12.5,794,4253,2279,35,35,3,4,4,1051,28,Matches,28,1.9,21,0,2,2,1,2,2,0.14,2,0,0,0,0,0
51,Leonardo Bittencourt,de GER,MF,Werder Bremen,31-156,1993.0,10.9,801,8,148,455,205,20,801,5,1,20.0,3,60.0,530,2429,992,19,13,2,12,2,583,38,Matches,39,3.57,28,2,0,4,4,1,5,0.46,5,0,0,0,0,0
416,Leonidas Stergiou,ch SUI,DF,Stuttgart,23-082,2002.0,9.5,642,32,171,322,152,9,642,6,4,66.7,2,33.3,339,1536,640,11,13,2,6,4,376,32,Matches,12,1.27,9,1,2,0,0,0,6,0.63,4,0,2,0,0,0
350,Leopold Querfeld,at AUT,DF,Union Berlin,21-155,2003.0,19.4,1066,176,562,457,54,34,1066,9,3,33.3,5,55.6,531,2479,1336,3,2,0,5,2,574,5,Matches,26,1.34,24,0,0,1,1,0,2,0.1,2,0,0,0,0,0
377,Leroy Sané,de GER,FW,Bayern Munich,29-133,1996.0,18.2,1184,8,68,399,736,121,1184,100,39,39.0,55,55.0,787,5003,2266,75,47,38,65,27,953,266,Matches,76,4.18,55,1,8,5,5,2,9,0.49,7,0,1,0,0,1
